Year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
12-16,30929.81059,29142.7578,28476.65027,27985.98402,27685.77699,27455.79019,27474.45488,27149.07439,26271.28426,25315.40352,24743.32812
17-21,224035.0961,216911.2096,215119.3139,212185.9834,211125.6117,213144.3886,220202.7096,230793.0301,231686.8452,227656.8102,225002.5332
22-30,600234.8809,608994.6164,627036.0462,644846.1888,661296.5267,680022.0152,700772.0255,724659.7558,724537.9161,736034.72,744795.8688
31-64,1205638.939,1205426.638,1205437.359,1205312.776,1205338.394,1205324.242,1205427.678,1205514.764,1205422.501,1205366.166,1205278.379
65+,1604095.324,1614178.635,1643564.797,1661591.954,1689712.559,1715014.274,1751610.526,1777133.426,1801791.324,1876142.004,1946635.646
